tag,start,end,rs_threshold,breakout_volume,stop_max_pct,max_positions,trades,sharpe,cagr,max_dd,total_return,win_rate,wl_ratio,exposure,audit_passed,run_id,error
full,2022-01-03,2024-06-28,80,1.2,0.08,12,156,-0.17826710712812868,-0.010396609964983594,-0.07275720891843207,-0.0256184566381481,0.30128205128205127,2.064377474571758,0.17552341317369516,True,full_rs_80_bre1.2_sto0.08_max12,
full,2022-01-03,2024-06-28,80,1.2,0.1,4,89,-0.13206932056571324,-0.01971999670148461,-0.19304246140666692,-0.04825542219149126,0.3146067415730337,2.1303565965546967,0.30029340977790364,True,full_rs_80_bre1.2_sto0.1_max4,
full,2022-01-03,2024-06-28,80,1.2,0.1,6,124,0.09098170163582756,0.003916713383036452,-0.0883915616479658,0.009754371948264673,0.33064516129032256,2.1000503619318174,0.23597200190107528,True,full_rs_80_bre1.2_sto0.1_max6,
full,2022-01-03,2024-06-28,80,1.2,0.1,8,141,-0.24728941374218213,-0.019923184066792055,-0.1067925673319785,-0.04874522048450525,0.2978723404255319,2.0694065169191833,0.25207545895405287,True,full_rs_80_bre1.2_sto0.1_max8,
full,2022-01-03,2024-06-28,80,1.2,0.1,12,153,-0.27738300553526746,-0.01505719941770145,-0.07803142274852448,-0.036973987324065205,0.30718954248366015,2.008809074056916,0.17215529446971267,True,full_rs_80_bre1.2_sto0.1_max12,
full,2022-01-03,2024-06-28,80,1.4,0.06,4,88,-0.3433521941854296,-0.025415403462292208,-0.10463701290947436,-0.06192762584211753,0.2727272727272727,2.2615997566635277,0.21312155251078851,True,full_rs_80_bre1.4_sto0.06_max4,
full,2022-01-03,2024-06-28,80,1.4,0.06,6,119,-0.6435830886714529,-0.039519034619544646,-0.12469050274044613,-0.09527715212308552,0.2689075630252101,2.199098526710703,0.18461642081819368,True,full_rs_80_bre1.4_sto0.06_max6,
full,2022-01-03,2024-06-28,80,1.4,0.06,8,129,-0.19827877797033983,-0.012924726970910516,-0.08779850003465484,-0.031788082907936,0.27906976744186046,2.2126547526956,0.19275970385369642,True,full_rs_80_bre1.4_sto0.06_max8,
full,2022-01-03,2024-06-28,80,1.4,0.06,12,135,-0.35861133145482327,-0.01569379407105098,-0.061910481707332154,-0.0385188819433816,0.2740740740740741,2.198307462529273,0.1379583256069532,True,full_rs_80_bre1.4_sto0.06_max12,
full,2022-01-03,2024-06-28,80,1.4,0.08,4,88,-0.4263372205830923,-0.030703989812332577,-0.1170493082799311,-0.07451756725336822,0.2727272727272727,2.177399341360709,0.2136132616102463,True,full_rs_80_bre1.4_sto0.08_max4,
full,2022-01-03,2024-06-28,80,1.4,0.08,6,115,0.029805145373503508,-0.00046127327948730645,-0.132409620283239,-0.0011450561379510171,0.2782608695652174,2.3097953499365094,0.23634024756960242,True,full_rs_80_bre1.4_sto0.08_max6,
full,2022-01-03,2024-06-28,80,1.4,0.08,8,127,-0.239214050152427,-0.015284775361874448,-0.09379332191534295,-0.03752644117104997,0.28346456692913385,2.123661356555411,0.19141128418226505,True,full_rs_80_bre1.4_sto0.08_max8,
full,2022-01-03,2024-06-28,80,1.4,0.08,12,135,-0.5226188363074715,-0.023137370090570708,-0.06613196850222447,-0.05647323291984463,0.2740740740740741,2.0767913602027805,0.1410229397082227,True,full_rs_80_bre1.4_sto0.08_max12,
full,2022-01-03,2024-06-28,80,1.4,0.1,4,84,-0.47666198798594267,-0.03444549793417717,-0.12535912968343899,-0.08336324811687246,0.2857142857142857,2.049526389005186,0.21636877749083752,True,full_rs_80_bre1.4_sto0.1_max4,
full,2022-01-03,2024-06-28,80,1.4,0.1,6,106,-0.01156958926544951,-0.00394968669028084,-0.12884538104333076,-0.009779272352952395,0.3018867924528302,2.1584479169933877,0.24700428443882552,True,full_rs_80_bre1.4_sto0.1_max6,
full,2022-01-03,2024-06-28,80,1.4,0.1,8,119,-0.29573158687190404,-0.019690702738400012,-0.09640220141789502,-0.048184794488045024,0.29411764705882354,2.021665105087934,0.20136278143618425,True,full_rs_80_bre1.4_sto0.1_max8,
full,2022-01-03,2024-06-28,80,1.4,0.1,12,130,-0.6113630249644396,-0.02566885232081262,-0.0784599125653056,-0.06253330194861173,0.27692307692307694,1.9825430120449812,0.13702559017658078,True,full_rs_80_bre1.4_sto0.1_max12,
full,2022-01-03,2024-06-28,80,1.6,0.06,4,75,-0.5106384129165561,-0.032457314408584015,-0.11593531029365967,-0.07866909861608906,0.26666666666666666,2.333922900321971,0.1579600671843326,True,full_rs_80_bre1.6_sto0.06_max4,
full,2022-01-03,2024-06-28,80,1.6,0.06,6,93,-0.5652506125982281,-0.029526869772385167,-0.09817137665171183,-0.07172411915745436,0.26881720430107525,2.2380017110985713,0.15351337837394513,True,full_rs_80_bre1.6_sto0.06_max6,
full,2022-01-03,2024-06-28,80,1.6,0.06,8,102,-0.2597468117037092,-0.014262582666809465,-0.07167324037382028,-0.0350435238680884,0.30392156862745096,2.179309995335194,0.15329277310492165,True,full_rs_80_bre1.6_sto0.06_max8,
full,2022-01-03,2024-06-28,80,1.6,0.06,12,104,-0.32539717255093575,-0.011527756428853286,-0.04821052328961328,-0.028381804406582334,0.2980769230769231,2.170096695755671,0.10355924363782201,True,full_rs_80_bre1.6_sto0.06_max12,
full,2022-01-03,2024-06-28,80,1.6,0.08,4,75,-0.6047677097721604,-0.03757950371138796,-0.12537282393061677,-0.09073365064948435,0.26666666666666666,2.2418995783746536,0.15836581843066347,True,full_rs_80_bre1.6_sto0.08_max4,
full,2022-01-03,2024-06-28,80,1.6,0.08,6,92,0.20558690196990229,0.012539790794779515,-0.10306755066827211,0.03142936218939729,0.29347826086956524,2.3876788560295195,0.23321635328268303,True,full_rs_80_bre1.6_sto0.08_max6,
full,2022-01-03,2024-06-28,80,1.6,0.08,8,102,-0.30692389160936484,-0.017702061981622608,-0.07559601249544678,-0.04338286251762957,0.30392156862745096,2.071590744097719,0.16152470354825818,True,full_rs_80_bre1.6_sto0.08_max8,
full,2022-01-03,2024-06-28,80,1.6,0.08,12,104,-0.36973101633965505,-0.013943701850330892,-0.0508338089115018,-0.03426817684683081,0.2980769230769231,2.069572795793026,0.11024446674400347,True,full_rs_80_bre1.6_sto0.08_max12,
full,2022-01-03,2024-06-28,80,1.6,0.1,4,74,-0.7057488559808077,-0.04392717807046065,-0.13853193548309806,-0.1055530543611164,0.2702702702702703,2.12063639039999,0.1601636912534691,True,full_rs_80_bre1.6_sto0.1_max4,
full,2022-01-03,2024-06-28,80,1.6,0.1,6,92,0.14056817457757836,0.0077366905654443485,-0.11188518029901584,0.019322356110122563,0.29347826086956524,2.29286938129447,0.23602974468826338,True,full_rs_80_bre1.6_sto0.1_max6,
full,2022-01-03,2024-06-28,80,1.6,0.1,8,102,-0.32867120864374627,-0.02243049444923273,-0.08238376554787963,-0.05477688927802693,0.30392156862745096,1.985270249465589,0.1777257030278644,True,full_rs_80_bre1.6_sto0.1_max8,
full,2022-01-03,2024-06-28,80,1.6,0.1,12,103,-0.34635726665423766,-0.015288686368588711,-0.05561354073320446,-0.03753593371244235,0.30097087378640774,1.9804259732047873,0.11876681631617143,True,full_rs_80_bre1.6_sto0.1_max12,
