ticker,quarter_end_date,q4_eps,sum_4q,fy_eps,gap,flag
AGO,2025-12-31,2.51,10.21,10.26,0.05,False
AGX,2015-01-31,0.4,2.06,2.05,0.01,False
AGX,2016-01-31,0.44,2.41,2.42,0.01,False
AGX,2017-01-31,1.23,4.49,4.5,0.01,False
AGX,2018-01-31,0.45,4.57,4.56,0.01,False
AGX,2019-01-31,-0.14,3.32,3.32,0.0,False
AGX,2020-01-31,-0.46,-2.74,-2.73,0.01,False
AGX,2021-01-31,0.6,1.51,1.51,0.0,False
AGX,2022-01-31,0.14,2.4,2.4,0.0,False
AGX,2023-01-31,1.0,2.36,2.33,0.03,False
AGX,2024-01-31,0.89,2.39,2.39,0.0,False
AGX,2025-01-31,2.22,6.11,6.15,0.04,False
AGX,2026-01-31,3.47,9.74,9.74,0.0,False
AGYS,2021-03-31,-1.07,-1.03,-1.01,0.02,False
AGYS,2022-03-31,0.06,0.18,0.18,0.0,False
AGYS,2023-03-31,0.14,0.49,0.49,0.0,False
AGYS,2024-03-31,0.11,3.16,3.17,0.01,False
AGYS,2025-03-31,0.14,0.83,0.82,0.01,False
AGYS,2026-03-31,0.43,1.36,1.37,0.01,False
AHCO,2020-12-31,-2.6,-4.23,-3.08,1.15,True
AHCO,2021-12-31,0.38,0.62,0.67,0.05,True
AHCO,2022-12-31,-0.02,0.26,0.33,0.07,True
AHCO,2023-12-31,-1.97,-5.37,-5.31,0.06,False
AHCO,2024-12-31,0.34,0.6,0.61,0.01,False
AHCO,2025-12-31,-0.76,-0.55,-0.52,0.03,False
AHR,2019-12-31,0.02,-0.23,-0.03,0.2,True
AHR,2020-12-31,-0.05,-0.22,0.01,0.23,True
AHR,2021-12-31,-0.17,-0.34,-0.24,0.1,True
AHR,2023-12-31,-0.42,-1.09,-1.08,0.01,False
AHR,2024-12-31,-0.21,-0.27,-0.29,0.02,False
AHR,2025-12-31,0.06,0.41,0.42,0.01,False
AIN,2014-12-31,0.25,1.3,1.3,0.0,False
AIN,2015-12-31,1.16,1.77,1.79,0.02,False
AIN,2016-12-31,0.49,1.64,1.64,0.0,False
AIN,2017-12-31,0.18,1.02,1.03,0.01,False
AIN,2018-12-31,0.54,2.59,2.57,0.02,False
AIN,2019-12-31,0.9,4.09,4.1,0.01,False
AIN,2020-12-31,0.85,3.04,3.05,0.01,False
AIN,2021-12-31,0.88,3.65,3.65,0.0,False
AIN,2022-12-31,0.58,3.04,3.04,0.0,False
AIN,2023-12-31,0.97,3.55,3.55,0.0,False
AIN,2024-12-31,0.56,2.79,2.8,0.01,False
AIN,2025-12-31,0.49,-2.01,-1.94,0.07,False
AIR,2015-05-31,0.39,0.24,0.24,0.0,False
AIR,2016-05-31,0.35,1.37,1.37,0.0,False
AIR,2017-05-31,0.61,1.64,1.64,0.0,False
AIR,2018-05-31,0.34,0.43,0.41,0.02,False
AIR,2019-05-31,0.66,0.21,0.21,0.0,False
AIR,2020-05-31,-0.47,0.12,0.13,0.01,False
AIR,2021-05-31,0.39,0.99,1.0,0.01,False
AIR,2022-05-31,0.65,2.18,2.17,0.01,False
AIR,2023-05-31,0.65,2.54,2.53,0.01,False
AIR,2024-05-31,1.46,2.5,1.29,1.21,True
AIR,2025-05-31,0.92,0.3,0.35,0.05,False
AIR,2026-05-31,1.26,4.82,4.86,0.04,False
AIT,2015-06-30,0.7,2.82,2.8,0.02,False
AIT,2016-06-30,0.66,0.74,0.75,0.01,False
AIT,2017-06-30,1.34,3.4,3.4,0.0,False
AIT,2018-06-30,1.03,3.61,3.61,0.0,False
AIT,2019-06-30,1.02,3.67,3.68,0.01,False
AIT,2020-06-30,0.76,0.59,0.62,0.03,False
AIT,2021-06-30,1.48,3.65,3.68,0.03,False
AIT,2022-06-30,2.02,6.59,6.58,0.01,False
AIT,2023-06-30,2.35,8.84,8.84,0.0,False
AIT,2024-06-30,2.64,9.83,9.83,0.0,False
AIT,2025-06-30,2.8,10.12,10.12,0.0,False
AIT,2026-06-30,3.17,10.96,10.95,0.01,False
AKR,2014-12-31,0.16,1.2,1.18,0.02,False
AKR,2015-12-31,0.14,0.96,0.94,0.02,False
AKR,2020-12-31,-0.12,-0.09,-0.11,0.02,False
AKR,2021-12-31,0.03,0.28,0.26,0.02,False
AKR,2022-12-31,0.04,-0.39,-0.4,0.01,False
